,Player,2019 FantasyPoints,2020 FantasyPoints,2021 FantasyPoints,Production21,Average Total Production,Team,POS,AVG,Prediction
94,Marlon Mack,179.3,6.0,11.0,19.818181818181817,30.148989898989896,HOU,RB50,145.0,19.818181818181802
95,Cole Kmet,0.0,34.0,61.0,68.0,40.59259259259259,CHI,TE13,145.3,68.0
96,Kenneth Gainwell,0.0,0.0,90.0,74.57627118644068,24.858757062146893,PHI,RB51,147.3,74.5762711864408
97,Albert Okwuegbunam,0.0,18.0,43.0,63.67123287671232,27.4801545486477,DEN,TE14,148.3,63.671232876712345
98,Kenny Golladay,248.0,46.0,52.0,64.54867256637168,67.80224203834433,NYG,WR54,150.5,64.5486725663716
99,DeVante Parker,246.2,103.0,64.0,45.75221238938053,69.94969328642001,NE,WR55,151.5,45.75221238938048
100,Jakobi Meyers,61.9,84.0,103.0,71.33492822966507,75.16935418600775,NE,WR67,153.3,71.33492822966497
101,Julio Jones,274.1,95.0,49.0,55.063291139240505,65.15219167176365,TB,WR56,156.5,48.15792522972031
102,Khalil Herbert,0.0,0.0,65.0,75.85714285714286,25.28571428571429,CHI,RB59,160.3,75.85714285714293
103,Michael Gallup,212.7,114.0,57.0,41.47422680412371,70.41873781693526,DAL,WR57,160.5,41.474226804123674
104,Jamaal Williams,146.3,96.0,94.0,54.65745856353591,62.839168803475296,DET,RB54,162.5,66.16831853095509
105,Mecole Hardman,113.5,87.0,82.0,88.7112676056338,105.03620044179485,KC,WR61,164.5,88.71126760563389
106,Rondale Moore,0.0,0.0,55.0,60.74576271186441,20.24858757062147,ARI,WR62,165.8,60.74576271186445
107,Hunter Henry,148.2,85.0,114.0,83.232,66.62424081557984,NE,TE16,168.5,83.23199999999999
108,Noah Fant,111.0,87.0,91.0,68.25316455696202,72.38140583629308,SEA,TE17,172.8,68.25316455696183
109,Darrel Williams,67.8,37.0,149.0,86.09950248756219,72.9665008291874,ARI,RB56,173.5,86.09950248756215
110,Sony Michel,152.6,68.0,125.0,68.98755186721992,62.49192087549937,MIA,RB57,175.0,68.98755186721979
111,David Njoku,15.1,33.0,72.0,86.29213483146067,51.90710049937578,CLE,TE18,175.5,86.29213483146057
112,D'Onta Foreman,0.0,16.0,85.0,43.25,23.19927536231884,CAR,RB58,180.0,43.25
113,Van Jefferson,0.0,28.0,118.0,101.26618705035972,57.22206235011991,LAR,WR70,182.3,101.26618705035979
114,Sammy Watkins,136.5,50.0,43.0,67.56578947368422,60.56704107175472,GB,WR66,183.0,67.56578947368418
115,Robert Tonyan,26.0,125.0,32.0,35.06382978723404,55.185961280429375,GB,TE19,185.3,35.063829787234106
116,Corey Davis,115.1,126.0,71.0,48.0,72.31667045799212,NYJ,WR78,189.0,48.0
117,Gerald Everett,89.8,52.0,70.0,67.83783783783784,62.72811656617082,LAC,TE20,194.5,70.43408954011556
118,Evan Engram,109.4,78.0,57.0,51.42857142857142,49.64728682170542,JAC,TE21,195.3,51.42857142857149
119,Cameron Brate,91.1,40.0,49.0,48.65517241379311,59.11003679301788,TB,TE22,196.5,48.65517241379312
120,Kenyan Drake,212.2,167.0,73.0,63.84466019417475,64.6301372760539,LV,RB63,197.3,63.844660194174814
121,Chuba Hubbard,0.0,0.0,113.0,64.42105263157895,21.473684210526315,CAR,RB64,201.3,64.42105263157897
122,K.J. Osborn,0.0,0.0,109.0,86.54545454545455,28.848484848484848,MIN,WR72,204.0,86.5454545454547
123,Curtis Samuel,171.7,135.0,4.0,12.666666666666666,60.19388418998048,WAS,WR80,206.0,12.66666666666667
124,Tyler Higbee,160.4,84.0,86.0,58.04794520547946,68.0086383401582,LAR,TE23,209.3,67.21850501478782
125,Jamison Crowder,197.7,113.0,59.0,44.16393442622951,56.633743907842266,BUF,WR74,209.7,44.163934426229474
126,Donovan Peoples-Jones,0.0,44.0,76.0,91.30434782608695,66.43478260869564,CLE,WR81,210.0,91.30434782608688
